FinInstrmIdLeg1,FinInstrmIdLeg2,Spread Token Created by Us,Security Symbol Created by Us,Security Symbol Name Created by Us,FinInstrmNmLeg1,TckrSymb1,SrsId1,XpryDt1,Converted Expiry1 Date,Month Extrated from Date1,StrkPricLeg1,OptnTpLeg1,OffclCorpActnEvtId1,FinInstrmNmLeg2,TckrSymb2,SrsId2,XpryDt2,Converted Expiry2 Date,Month Extrated from Date2,StrkPricLeg2,OptnTpLeg2,NewBrdLotQty1,MinLot1,BidIntrvl1,NewBrdLotQty2,MinLot2,BidIntrvl2,Elgblty,DelFlg,OffclCorpActnEvtId2,RefPric,DayLwPricDiffRg,DayHghPricDiffRg,OpngLowPricDiffRg,OpngHghPricDiffRg,UndrlygInstrm,Rsvd,UndrlygFinInstrmId,PartnIdr,DcmlstnPric,UnqPdctIdr,SrsId,StrtgyId,NbOfLegsInStrtgy,Mltplr,FinInstrmId,AsstTp,TckrSymb,FinInstrmTp,XpryDt,FinInstrmNm,StrkPric,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07,Rsvd08,Rsvd09,Rsvd10
56827,53252,1325256827,BAJAJFINSV-1,SP-BAJAJFINSV-JUN-JUL,FUTSTK,BAJAJFINSV,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BAJAJFINSV,XX,1438439400,7/31/2025,JUL,-1,XX,500,500,10,500,500,10,1,N,0,199410,-4990,4990,-4990,4990,,,,,,,,,,,,,,,,,,,,,,,,,,,
53252,64219,1421953252,BAJAJFINSV-2,SP-BAJAJFINSV-JUL-AUG,FUTSTK,BAJAJFINSV,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BAJAJFINSV,XX,1440858600,8/28/2025,AUG,-1,XX,500,500,10,500,500,10,1,N,0,200610,-5020,5020,-5020,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,
53253,64220,1422053253,BAJFINANCE-1,SP-BAJFINANCE-JUL-AUG,FUTSTK,BAJFINANCE,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BAJFINANCE,XX,1440858600,8/28/2025,AUG,-1,XX,75,75,50,75,75,50,1,N,0,947150,-23700,23700,-23700,23700,,,,,,,,,,,,,,,,,,,,,,,,,,,
56829,53254,1325456829,BALKRISIND-1,SP-BALKRISIND-JUN-JUL,FUTSTK,BALKRISIND,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BALKRISIND,XX,1438439400,7/31/2025,JUL,-1,XX,300,300,10,300,300,10,1,N,0,249710,-6250,6250,-6250,6250,,,,,,,,,,,,,,,,,,,,,,,,,,,
53255,64221,1422153255,BANDHANBNK-1,SP-BANDHANBNK-JUL-AUG,FUTSTK,BANDHANBNK,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BANDHANBNK,XX,1440858600,8/28/2025,AUG,-1,XX,3600,3600,1,3600,3600,1,1,N,0,17541,-438,438,-438,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
56831,53256,1325656831,BANKBARODA-1,SP-BANKBARODA-JUN-JUL,FUTSTK,BANKBARODA,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BANKBARODA,XX,1438439400,7/31/2025,JUL,-1,XX,2925,2925,1,2925,2925,1,1,N,0,24692,-617,617,-617,617,,,,,,,,,,,,,,,,,,,,,,,,,,,
53256,64222,1422253256,BANKBARODA-2,SP-BANKBARODA-JUL-AUG,FUTSTK,BANKBARODA,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BANKBARODA,XX,1440858600,8/28/2025,AUG,-1,XX,2925,2925,1,2925,2925,1,1,N,0,24860,-621,621,-621,621,,,,,,,,,,,,,,,,,,,,,,,,,,,
53257,64223,1422353257,BANKINDIA-1,SP-BANKINDIA-JUL-AUG,FUTSTK,BANKINDIA,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BANKINDIA,XX,1440858600,8/28/2025,AUG,-1,XX,5200,5200,1,5200,5200,1,1,N,0,12583,-314,314,-314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,
53213,64100,1410053213,BANKNIFTY-1,SP-BANKNIFTY-JUL-AUG,FUTIDX,BANKNIFTY,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTIDX,BANKNIFTY,XX,1440858600,8/28/2025,AUG,-1,XX,35,35,20,35,35,20,1,N,0,5691840,-113840,113840,-113840,113840,,,,,,,,,,,,,,,,,,,,,,,,,,,
64224,64225,1422564224,BDL-1,SP-BDL-JUN-JUL,FUTSTK,BDL,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BDL,XX,1438439400,7/31/2025,JUL,-1,XX,325,325,10,325,325,10,1,N,0,194080,-4860,4860,-4860,4860,,,,,,,,,,,,,,,,,,,,,,,,,,,
64225,64226,1422664225,BDL-2,SP-BDL-JUL-AUG,FUTSTK,BDL,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BDL,XX,1440858600,8/28/2025,AUG,-1,XX,325,325,10,325,325,10,1,N,0,195240,-4890,4890,-4890,4890,,,,,,,,,,,,,,,,,,,,,,,,,,,
56833,53258,1325856833,BEL-1,SP-BEL-JUN-JUL,FUTSTK,BEL,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BEL,XX,1438439400,7/31/2025,JUL,-1,XX,2850,2850,5,2850,2850,5,1,N,0,39180,-980,980,-980,980,,,,,,,,,,,,,,,,,,,,,,,,,,,
53258,64227,1422753258,BEL-2,SP-BEL-JUL-AUG,FUTSTK,BEL,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BEL,XX,1440858600,8/28/2025,AUG,-1,XX,2850,2850,5,2850,2850,5,1,N,0,39430,-985,985,-985,985,,,,,,,,,,,,,,,,,,,,,,,,,,,
56834,53259,1325956834,BHARATFORG-1,SP-BHARATFORG-JUN-JUL,FUTSTK,BHARATFORG,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BHARATFORG,XX,1438439400,7/31/2025,JUL,-1,XX,500,500,10,500,500,10,1,N,0,130000,-3250,3250,-3250,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,
